symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2015-11-10 00:00:00+00:00,108.5571419722,109.7657082526,107.8980085161,108.6779986002,59127931,116.77,0.0,118.07,116.061,116.9,1.0,59127931
AAPL,2015-11-11 00:00:00+00:00,107.9435621683,109.1614251124,107.1068624357,108.1852754243,45217971,116.11,0.0,117.42,115.21,116.37,1.0,45217971
AAPL,2015-11-12 00:00:00+00:00,107.5809922841,108.6036252906,107.5159156383,108.0830121237,32525579,115.72,0.0,116.82,115.65,116.26,1.0,32525579
AAPL,2015-11-13 00:00:00+00:00,104.4387199551,107.4415423287,104.3736433092,107.097565772,45812403,112.34,0.0,115.57,112.27,115.2,1.0,45812403
AAPL,2015-11-16 00:00:00+00:00,106.1446577432,106.2050860572,103.1929670199,103.5462402403,38106701,114.175,0.0,114.24,111.0,111.38,1.0,38106701
AAPL,2015-11-17 00:00:00+00:00,105.6937695539,106.9581158165,105.3497929972,106.8372591885,27583101,113.69,0.0,115.05,113.32,114.92,1.0,27583101
AAPL,2015-11-18 00:00:00+00:00,109.0405684843,109.2265017582,107.3764656828,107.6181789389,46674697,117.29,0.0,117.49,115.5,115.76,1.0,46674697
AAPL,2015-11-19 00:00:00+00:00,110.4257713749,111.3275477534,108.5478453085,109.3659517137,43295820,118.78,0.0,119.75,116.76,117.64,1.0,43295820
AAPL,2015-11-20 00:00:00+00:00,110.9091978871,111.4855910362,110.4908480208,110.8162312502,34287096,119.3,0.0,119.92,118.85,119.2,1.0,34287096
AAPL,2015-11-23 00:00:00+00:00,109.4682150143,111.308954426,109.0870518028,110.881307896,32482528,117.75,0.0,119.73,117.34,119.27,1.0,32482528
AAPL,2015-11-24 00:00:00+00:00,110.5187380119,110.9556812056,108.8825252015,109.0777551391,42803172,118.88,0.0,119.35,117.12,117.33,1.0,42803172
AAPL,2015-11-25 00:00:00+00:00,109.7285215978,110.8441212412,109.6262582971,110.8255279139,21388308,118.03,0.0,119.23,117.92,119.21,1.0,21388308
AAPL,2015-11-27 00:00:00+00:00,109.5239949965,110.0817948182,109.3287650589,109.9702348539,13046445,117.81,0.0,118.41,117.6,118.29,1.0,13046445
AAPL,2015-11-30 00:00:00+00:00,109.9795315176,111.0114611878,109.4682150143,109.691334943,39180322,118.3,0.0,119.41,117.75,117.99,1.0,39180322
AAPL,2015-12-01 00:00:00+00:00,109.0870518028,110.453661366,108.6408119454,110.3978813839,34852374,117.34,0.0,118.81,116.86,118.75,1.0,34852374
AAPL,2015-12-02 00:00:00+00:00,108.1016054511,109.8028949074,107.9156721772,108.8174485556,33386563,116.28,0.0,118.11,116.08,117.05,1.0,33386563
AAPL,2015-12-03 00:00:00+00:00,107.097565772,108.5757352995,106.1864927298,108.3526153709,41569509,115.2,0.0,116.79,114.22,116.55,1.0,41569509
AAPL,2015-12-04 00:00:00+00:00,110.6581879673,110.8627145686,107.0138957987,107.1812357452,57776977,119.03,0.0,119.25,115.11,115.29,1.0,57776977
AAPL,2015-12-07 00:00:00+00:00,109.9609381902,111.4298110541,109.5239949965,110.6117046489,32084249,118.28,0.0,119.86,117.81,118.98,1.0,32084249
AAPL,2015-12-08 00:00:00+00:00,109.9144548717,110.2584314284,108.6408119454,109.2543917493,34309450,118.23,0.0,118.6,116.86,117.52,1.0,34309450
AAPL,2015-12-09 00:00:00+00:00,107.4880256472,109.4124350321,106.9860058076,109.3659517137,46361357,115.62,0.0,117.69,115.08,117.64,1.0,46361357
AAPL,2015-12-10 00:00:00+00:00,107.9993421504,108.715185255,107.3857623465,107.8784855224,29212727,116.17,0.0,116.94,115.51,116.04,1.0,29212727
AAPL,2015-12-11 00:00:00+00:00,105.2196397055,107.2742023822,104.9137794699,107.0882691083,46886161,113.18,0.0,115.39,112.851,115.19,1.0,46886161
